gender,age,married,n_of_dependents,n_of_referrals,tenure_in_months,offer,phone_service,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,ttl_refunds,ttl_extra_data_chg,ttl_l_distance_chg,ttl_revenue,customer_status
Female,37,Yes,0,2.0,9,No Offer,Yes,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,0.0,0,381.51,974.81,0
Male,46,No,0,0.0,9,No Offer,Yes,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,38.33,10,96.21,610.28,0
Male,50,No,0,0.0,4,Offer E,Yes,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,134.6,415.45,1
Male,78,Yes,0,1.0,13,Offer D,Yes,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,361.66,1599.51,1
Female,75,Yes,0,3.0,3,No Offer,Yes,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0,22.14,289.54,1
Female,67,Yes,0,1.0,71,Offer A,Yes,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,707.16,8611.41,0
Female,68,No,0,0.0,7,Offer E,Yes,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,73.71,414.06,0
Female,43,Yes,1,3.0,65,No Offer,Yes,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.0,0,1849.9,7807.8,0
Male,47,No,0,0.0,54,No Offer,No,No,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,0.0,0,0.0,2460.55,0
Female,58,Yes,0,0.0,5,No Offer,Yes,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,93.25,444.75,0
Female,32,No,0,0.0,72,Offer A,Yes,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,162.0,7423.25,0
